time,mode,mode_name,ok,sign,exp,denorm,nan,inf,range,error
157000,1,nodenorm,1,1,123,0,0,0,1,0
159000,1,nodenorm,1,1,103,0,0,0,1,0
161000,1,nodenorm,1,0,240,0,0,0,1,0
163000,1,nodenorm,1,1,40,0,0,0,1,0
165000,1,nodenorm,1,1,52,0,0,0,1,0
167000,1,nodenorm,1,1,221,0,0,0,1,0
169000,1,nodenorm,1,0,120,0,0,0,1,0
171000,1,nodenorm,1,1,145,0,0,0,1,0
173000,1,nodenorm,1,1,45,0,0,0,1,0
175000,1,nodenorm,1,0,249,0,0,0,1,0
177000,1,nodenorm,1,0,192,0,0,0,1,0
179000,1,nodenorm,1,1,22,0,0,0,1,0
181000,1,nodenorm,1,0,179,0,0,0,1,0
183000,1,nodenorm,1,1,96,0,0,0,1,0
185000,1,nodenorm,1,1,74,0,0,0,1,0
187000,1,nodenorm,1,1,35,0,0,0,1,0
189000,1,nodenorm,1,0,92,0,0,0,1,0
191000,1,nodenorm,1,1,238,0,0,0,1,0
193000,1,nodenorm,1,0,22,0,0,0,1,0
195000,1,nodenorm,1,1,164,0,0,0,1,0
197000,1,nodenorm,1,1,61,0,0,0,1,0
199000,1,nodenorm,1,0,174,0,0,0,1,0
201000,1,nodenorm,1,0,200,0,0,0,1,0
203000,1,nodenorm,1,0,187,0,0,0,1,0
205000,1,nodenorm,1,1,144,0,0,0,1,0
207000,1,nodenorm,1,0,163,0,0,0,1,0
209000,1,nodenorm,1,1,120,0,0,0,1,0
211000,1,nodenorm,1,1,187,0,0,0,1,0
213000,1,nodenorm,1,1,129,0,0,0,1,0
215000,1,nodenorm,1,1,159,0,0,0,1,0
217000,1,nodenorm,1,0,200,0,0,0,1,0
219000,1,nodenorm,1,1,97,0,0,0,1,0
221000,1,nodenorm,1,1,213,0,0,0,1,0
223000,1,nodenorm,1,1,225,0,0,0,1,0
225000,1,nodenorm,1,0,66,0,0,0,1,0
227000,1,nodenorm,1,0,165,0,0,0,1,0
229000,1,nodenorm,1,1,32,0,0,0,1,0
231000,1,nodenorm,1,0,34,0,0,0,1,0
233000,1,nodenorm,1,0,60,0,0,0,1,0
235000,1,nodenorm,1,0,211,0,0,0,1,0
237000,1,nodenorm,1,1,90,0,0,0,1,0
239000,1,nodenorm,1,1,20,0,0,0,1,0
241000,1,nodenorm,1,0,59,0,0,0,1,0
243000,1,nodenorm,1,0,105,0,0,0,1,0
245000,1,nodenorm,1,1,93,0,0,0,1,0
247000,1,nodenorm,1,0,237,0,0,0,1,0
249000,1,nodenorm,1,1,227,0,0,0,1,0
251000,1,nodenorm,1,1,205,0,0,0,1,0
253000,1,nodenorm,1,0,7,0,0,0,1,0
255000,1,nodenorm,1,0,148,0,0,0,1,0
257000,1,nodenorm,1,0,1,0,0,0,1,0
259000,1,nodenorm,1,1,116,0,0,0,1,0
261000,1,nodenorm,1,0,170,0,0,0,1,0
263000,1,nodenorm,1,0,103,0,0,0,1,0
265000,1,nodenorm,1,0,247,0,0,0,1,0
267000,1,nodenorm,1,0,255,0,1,0,1,0
269000,1,nodenorm,1,1,228,0,0,0,1,0
271000,1,nodenorm,1,0,167,0,0,0,1,0
273000,1,nodenorm,1,0,49,0,0,0,1,0
275000,1,nodenorm,1,1,246,0,0,0,1,0
277000,1,nodenorm,1,0,160,0,0,0,1,0
279000,1,nodenorm,1,0,239,0,0,0,1,0
281000,1,nodenorm,1,0,5,0,0,0,1,0
283000,1,nodenorm,1,0,45,0,0,0,1,0
285000,1,nodenorm,1,0,89,0,0,0,1,0
287000,1,nodenorm,1,1,218,0,0,0,1,0
289000,1,nodenorm,1,0,179,0,0,0,1,0
291000,1,nodenorm,1,0,98,0,0,0,1,0
293000,1,nodenorm,1,1,138,0,0,0,1,0
295000,1,nodenorm,1,0,112,0,0,0,1,0
297000,1,nodenorm,1,1,22,0,0,0,1,0
299000,1,nodenorm,1,1,228,0,0,0,1,0
301000,1,nodenorm,1,1,15,0,0,0,1,0
303000,1,nodenorm,1,1,121,0,0,0,1,0
305000,1,nodenorm,1,1,184,0,0,0,1,0
307000,1,nodenorm,1,0,42,0,0,0,1,0
309000,1,nodenorm,1,0,243,0,0,0,1,0
311000,1,nodenorm,1,1,195,0,0,0,1,0
313000,1,nodenorm,1,0,9,0,0,0,1,0
315000,1,nodenorm,1,0,253,0,0,0,1,0
317000,1,nodenorm,1,1,172,0,0,0,1,0
319000,1,nodenorm,1,1,59,0,0,0,1,0
321000,1,nodenorm,1,1,163,0,0,0,1,0
323000,1,nodenorm,1,0,155,0,0,0,1,0
325000,1,nodenorm,1,1,231,0,0,0,1,0
327000,1,nodenorm,1,1,88,0,0,0,1,0
329000,1,nodenorm,1,1,35,0,0,0,1,0
331000,1,nodenorm,1,1,4,0,0,0,1,0
333000,1,nodenorm,1,1,186,0,0,0,1,0
335000,1,nodenorm,1,1,249,0,0,0,1,0
337000,1,nodenorm,1,1,49,0,0,0,1,0
339000,1,nodenorm,1,1,127,0,0,0,1,0
341000,1,nodenorm,1,1,25,0,0,0,1,0
343000,1,nodenorm,1,1,67,0,0,0,1,0
345000,1,nodenorm,1,1,13,0,0,0,1,0
347000,1,nodenorm,1,1,141,0,0,0,1,0
349000,1,nodenorm,1,0,212,0,0,0,1,0
351000,1,nodenorm,1,1,197,0,0,0,1,0
353000,1,nodenorm,1,0,226,0,0,0,1,0
355000,1,nodenorm,1,0,24,0,0,0,1,0
357000,1,nodenorm,1,0,180,0,0,0,1,0
359000,1,nodenorm,1,1,242,0,0,0,1,0
361000,1,nodenorm,1,1,151,0,0,0,1,0
363000,1,nodenorm,1,1,23,0,0,0,1,0
365000,1,nodenorm,1,1,41,0,0,0,1,0
367000,1,nodenorm,1,1,123,0,0,0,1,0
369000,1,nodenorm,1,0,191,0,0,0,1,0
371000,1,nodenorm,1,1,142,0,0,0,1,0
373000,1,nodenorm,1,1,2,0,0,0,1,0
375000,1,nodenorm,1,1,250,0,0,0,1,0
377000,1,nodenorm,1,0,117,0,0,0,1,0
379000,1,nodenorm,1,1,244,0,0,0,1,0
381000,1,nodenorm,1,1,16,0,0,0,1,0
383000,1,nodenorm,1,1,232,0,0,0,1,0
385000,1,nodenorm,1,0,68,0,0,0,1,0
387000,1,nodenorm,1,0,205,0,0,0,1,0
389000,1,nodenorm,1,1,111,0,0,0,1,0
391000,1,nodenorm,1,0,186,0,0,0,1,0
393000,1,nodenorm,1,0,225,0,0,0,1,0
395000,1,nodenorm,1,0,85,0,0,0,1,0
397000,1,nodenorm,1,0,240,0,0,0,1,0
399000,1,nodenorm,1,1,79,0,0,0,1,0
401000,1,nodenorm,1,0,36,0,0,0,1,0
403000,1,nodenorm,1,1,42,0,0,0,1,0
405000,1,nodenorm,1,1,30,0,0,0,1,0
407000,1,nodenorm,1,0,48,0,0,0,1,0
409000,1,nodenorm,1,0,22,0,0,0,1,0
411000,1,nodenorm,1,0,204,0,0,0,1,0
413000,1,nodenorm,1,0,39,0,0,0,1,0
415000,1,nodenorm,1,0,96,0,0,0,1,0
417000,1,nodenorm,1,0,238,0,0,0,1,0
419000,1,nodenorm,1,0,102,0,0,0,1,0
421000,1,nodenorm,1,0,26,0,0,0,1,0
423000,1,nodenorm,1,0,48,0,0,0,1,0
425000,1,nodenorm,1,1,6,0,0,0,1,0
427000,1,nodenorm,1,1,245,0,0,0,1,0
429000,1,nodenorm,1,0,207,0,0,0,1,0
431000,1,nodenorm,1,1,251,0,0,0,1,0
433000,1,nodenorm,1,0,93,0,0,0,1,0
435000,1,nodenorm,1,1,217,0,0,0,1,0
437000,1,nodenorm,1,1,109,0,0,0,1,0
439000,1,nodenorm,1,1,17,0,0,0,1,0
441000,1,nodenorm,1,0,69,0,0,0,1,0
443000,1,nodenorm,1,0,36,0,0,0,1,0
445000,1,nodenorm,1,0,191,0,0,0,1,0
447000,1,nodenorm,1,0,125,0,0,0,1,0
449000,1,nodenorm,1,1,142,0,0,0,1,0
451000,1,nodenorm,1,1,51,0,0,0,1,0
453000,1,nodenorm,1,1,84,0,0,0,1,0
455000,1,nodenorm,1,0,16,0,0,0,1,0
457000,1,nodenorm,1,1,180,0,0,0,1,0
459000,1,nodenorm,1,0,45,0,0,0,1,0
461000,1,nodenorm,1,0,1,0,0,0,1,0
463000,1,nodenorm,1,0,59,0,0,0,1,0
465000,1,nodenorm,1,0,155,0,0,0,1,0
467000,1,nodenorm,1,0,252,0,0,0,1,0
469000,1,nodenorm,1,0,76,0,0,0,1,0
471000,1,nodenorm,1,0,142,0,0,0,1,0
473000,1,nodenorm,1,1,61,0,0,0,1,0
475000,1,nodenorm,1,1,87,0,0,0,1,0
477000,1,nodenorm,1,1,193,0,0,0,1,0
479000,1,nodenorm,1,0,18,0,0,0,1,0
481000,1,nodenorm,1,0,87,0,0,0,1,0
483000,1,nodenorm,1,1,6,0,0,0,1,0
485000,1,nodenorm,1,0,72,0,0,0,1,0
487000,1,nodenorm,1,1,108,0,0,0,1,0
489000,1,nodenorm,1,0,252,0,0,0,1,0
491000,1,nodenorm,1,0,93,0,0,0,1,0
493000,1,nodenorm,1,1,83,0,0,0,1,0
495000,1,nodenorm,1,0,50,0,0,0,1,0
497000,1,nodenorm,1,1,73,0,0,0,1,0
499000,1,nodenorm,1,1,82,0,0,0,1,0
501000,1,nodenorm,1,0,249,0,0,0,1,0
503000,1,nodenorm,1,0,47,0,0,0,1,0
505000,1,nodenorm,1,1,226,0,0,0,1,0
507000,1,nodenorm,1,1,35,0,0,0,1,0
509000,1,nodenorm,1,0,255,0,1,0,1,0
511000,1,nodenorm,1,1,168,0,0,0,1,0
513000,1,nodenorm,1,1,172,0,0,0,1,0
515000,1,nodenorm,1,1,150,0,0,0,1,0
517000,1,nodenorm,1,1,174,0,0,0,1,0
519000,1,nodenorm,1,1,154,0,0,0,1,0
521000,1,nodenorm,1,1,97,0,0,0,1,0
523000,1,nodenorm,1,1,190,0,0,0,1,0
525000,1,nodenorm,1,1,186,0,0,0,1,0
527000,1,nodenorm,1,0,40,0,0,0,1,0
529000,1,nodenorm,1,0,19,0,0,0,1,0
531000,1,nodenorm,1,1,107,0,0,0,1,0
533000,1,nodenorm,1,0,218,0,0,0,1,0
535000,1,nodenorm,1,0,103,0,0,0,1,0
537000,1,nodenorm,1,0,93,0,0,0,1,0
539000,1,nodenorm,1,0,160,0,0,0,1,0
541000,1,nodenorm,1,1,84,0,0,0,1,0
543000,1,nodenorm,1,1,135,0,0,0,1,0
545000,1,nodenorm,1,1,142,0,0,0,1,0
547000,1,nodenorm,1,1,79,0,0,0,1,0
549000,1,nodenorm,1,1,32,0,0,0,1,0
551000,1,nodenorm,1,0,44,0,0,0,1,0
553000,1,nodenorm,1,0,11,0,0,0,1,0
555000,1,nodenorm,1,0,230,0,0,0,1,0
557000,1,nodenorm,1,1,250,0,0,0,1,0
559000,1,nodenorm,1,1,200,0,0,0,1,0
561000,1,nodenorm,1,0,167,0,0,0,1,0
563000,1,nodenorm,1,0,73,0,0,0,1,0
565000,1,nodenorm,1,1,89,0,0,0,1,0
567000,1,nodenorm,1,1,51,0,0,0,1,0
569000,1,nodenorm,1,0,134,0,0,0,1,0
571000,1,nodenorm,1,0,69,0,0,0,1,0
573000,1,nodenorm,1,0,34,0,0,0,1,0
575000,1,nodenorm,1,0,117,0,0,0,1,0
577000,1,nodenorm,1,0,70,0,0,0,1,0
579000,1,nodenorm,1,0,133,0,0,0,1,0
581000,1,nodenorm,1,0,208,0,0,0,1,0
583000,1,nodenorm,1,1,226,0,0,0,1,0
585000,1,nodenorm,1,1,152,0,0,0,1,0
587000,1,nodenorm,1,1,111,0,0,0,1,0
589000,1,nodenorm,1,1,84,0,0,0,1,0
591000,1,nodenorm,1,0,99,0,0,0,1,0
593000,1,nodenorm,1,1,83,0,0,0,1,0
595000,1,nodenorm,1,0,28,0,0,0,1,0
597000,1,nodenorm,1,0,208,0,0,0,1,0
599000,1,nodenorm,1,1,46,0,0,0,1,0
601000,1,nodenorm,1,1,2,0,0,0,1,0
603000,1,nodenorm,1,1,156,0,0,0,1,0
605000,1,nodenorm,1,0,133,0,0,0,1,0
607000,1,nodenorm,1,1,126,0,0,0,1,0
609000,1,nodenorm,1,1,86,0,0,0,1,0
611000,1,nodenorm,1,1,73,0,0,0,1,0
613000,1,nodenorm,1,1,89,0,0,0,1,0
615000,1,nodenorm,1,1,18,0,0,0,1,0
617000,1,nodenorm,1,1,134,0,0,0,1,0
619000,1,nodenorm,1,0,34,0,0,0,1,0
621000,1,nodenorm,1,0,87,0,0,0,1,0
623000,1,nodenorm,1,0,0,0,0,0,1,0
625000,1,nodenorm,1,0,192,0,0,0,1,0
627000,1,nodenorm,1,1,9,0,0,0,1,0
629000,1,nodenorm,1,0,137,0,0,0,1,0
631000,1,nodenorm,1,1,174,0,0,0,1,0
633000,1,nodenorm,1,1,126,0,0,0,1,0
635000,1,nodenorm,1,1,13,0,0,0,1,0
637000,1,nodenorm,1,1,98,0,0,0,1,0
639000,1,nodenorm,1,0,61,0,0,0,1,0
641000,1,nodenorm,1,1,226,0,0,0,1,0
643000,1,nodenorm,1,0,160,0,0,0,1,0
645000,1,nodenorm,1,0,68,0,0,0,1,0
647000,1,nodenorm,1,0,77,0,0,0,1,0
649000,1,nodenorm,1,0,207,0,0,0,1,0
651000,1,nodenorm,1,0,255,0,1,0,1,0
653000,1,nodenorm,1,0,153,0,0,0,1,0
655000,1,nodenorm,1,1,118,0,0,0,1,0
657000,1,nodenorm,1,1,27,0,0,0,1,0
659000,1,nodenorm,1,1,29,0,0,0,1,0
661000,1,nodenorm,1,0,240,0,0,0,1,0
663000,1,nodenorm,1,0,147,0,0,0,1,0
665000,1,nodenorm,1,0,149,0,0,0,1,0
667000,1,nodenorm,1,1,131,0,0,0,1,0
669000,1,nodenorm,1,0,239,0,0,0,1,0
671000,1,nodenorm,1,1,16,0,0,0,1,0
673000,1,nodenorm,1,0,225,0,0,0,1,0
675000,1,nodenorm,1,1,250,0,0,0,1,0
677000,1,nodenorm,1,1,140,0,0,0,1,0
679000,1,nodenorm,1,0,23,0,0,0,1,0
681000,1,nodenorm,1,0,121,0,0,0,1,0
683000,1,nodenorm,1,1,133,0,0,0,1,0
685000,1,nodenorm,1,1,175,0,0,0,1,0
687000,1,nodenorm,1,0,190,0,0,0,1,0
689000,1,nodenorm,1,0,4,0,0,0,1,0
691000,1,nodenorm,1,1,223,0,0,0,1,0
693000,1,nodenorm,1,1,237,0,0,0,1,0
695000,1,nodenorm,1,1,104,0,0,0,1,0
697000,1,nodenorm,1,0,78,0,0,0,1,0
699000,1,nodenorm,1,0,38,0,0,0,1,0
701000,1,nodenorm,1,1,218,0,0,0,1,0
703000,1,nodenorm,1,0,59,0,0,0,1,0
705000,1,nodenorm,1,0,43,0,0,0,1,0
707000,1,nodenorm,1,0,73,0,0,0,1,0
709000,1,nodenorm,1,0,150,0,0,0,1,0
711000,1,nodenorm,1,1,237,0,0,0,1,0
713000,1,nodenorm,1,0,203,0,0,0,1,0
715000,1,nodenorm,1,0,41,0,0,0,1,0
717000,1,nodenorm,1,0,234,0,0,0,1,0
719000,1,nodenorm,1,1,34,0,0,0,1,0
721000,1,nodenorm,1,0,200,0,0,0,1,0
723000,1,nodenorm,1,1,181,0,0,0,1,0
725000,1,nodenorm,1,0,165,0,0,0,1,0
727000,1,nodenorm,1,1,158,0,0,0,1,0
729000,1,nodenorm,1,1,196,0,0,0,1,0
731000,1,nodenorm,1,1,189,0,0,0,1,0
733000,1,nodenorm,1,1,232,0,0,0,1,0
735000,1,nodenorm,1,1,71,0,0,0,1,0
737000,1,nodenorm,1,1,81,0,0,0,1,0
739000,1,nodenorm,1,1,213,0,0,0,1,0
741000,1,nodenorm,1,0,241,0,0,0,1,0
743000,1,nodenorm,1,1,178,0,0,0,1,0
745000,1,nodenorm,1,0,88,0,0,0,1,0
747000,1,nodenorm,1,1,242,0,0,0,1,0
749000,1,nodenorm,1,1,10,0,0,0,1,0
751000,1,nodenorm,1,1,29,0,0,0,1,0
753000,1,nodenorm,1,1,227,0,0,0,1,0
755000,1,nodenorm,1,1,179,0,0,0,1,0
757000,1,nodenorm,1,1,134,0,0,0,1,0
759000,1,nodenorm,1,1,217,0,0,0,1,0
761000,1,nodenorm,1,0,31,0,0,0,1,0
763000,1,nodenorm,1,1,140,0,0,0,1,0
765000,1,nodenorm,1,0,242,0,0,0,1,0
767000,1,nodenorm,1,1,74,0,0,0,1,0
769000,1,nodenorm,1,0,45,0,0,0,1,0
771000,1,nodenorm,1,0,111,0,0,0,1,0
773000,1,nodenorm,1,0,192,0,0,0,1,0
775000,1,nodenorm,1,0,208,0,0,0,1,0
777000,1,nodenorm,1,0,185,0,0,0,1,0
779000,1,nodenorm,1,0,137,0,0,0,1,0
781000,1,nodenorm,1,1,193,0,0,0,1,0
783000,1,nodenorm,1,1,110,0,0,0,1,0
785000,1,nodenorm,1,0,181,0,0,0,1,0
787000,1,nodenorm,1,0,166,0,0,0,1,0
789000,1,nodenorm,1,1,50,0,0,0,1,0
791000,1,nodenorm,1,1,206,0,0,0,1,0
793000,1,nodenorm,1,0,37,0,0,0,1,0
795000,1,nodenorm,1,0,135,0,0,0,1,0
797000,1,nodenorm,1,0,193,0,0,0,1,0
799000,1,nodenorm,1,1,240,0,0,0,1,0
801000,1,nodenorm,1,1,109,0,0,0,1,0
803000,1,nodenorm,1,0,229,0,0,0,1,0
805000,1,nodenorm,1,0,211,0,0,0,1,0
807000,1,nodenorm,1,0,195,0,0,0,1,0
809000,1,nodenorm,1,1,203,0,0,0,1,0
811000,1,nodenorm,1,0,217,0,0,0,1,0
813000,1,nodenorm,1,0,117,0,0,0,1,0
815000,1,nodenorm,1,0,124,0,0,0,1,0
817000,1,nodenorm,1,1,134,0,0,0,1,0
819000,1,nodenorm,1,1,7,0,0,0,1,0
821000,1,nodenorm,1,1,106,0,0,0,1,0
823000,1,nodenorm,1,1,77,0,0,0,1,0
825000,1,nodenorm,1,1,21,0,0,0,1,0
827000,1,nodenorm,1,1,142,0,0,0,1,0
829000,1,nodenorm,1,0,113,0,0,0,1,0
831000,1,nodenorm,1,0,83,0,0,0,1,0
833000,1,nodenorm,1,0,233,0,0,0,1,0
835000,1,nodenorm,1,0,138,0,0,0,1,0
837000,1,nodenorm,1,0,106,0,0,0,1,0
839000,1,nodenorm,1,1,177,0,0,0,1,0
841000,1,nodenorm,1,1,145,0,0,0,1,0
843000,1,nodenorm,1,1,169,0,0,0,1,0
845000,1,nodenorm,1,0,226,0,0,0,1,0
847000,1,nodenorm,1,1,243,0,0,0,1,0
849000,1,nodenorm,1,0,8,0,0,0,1,0
851000,1,nodenorm,1,0,126,0,0,0,1,0
853000,1,nodenorm,1,1,244,0,0,0,1,0
855000,1,nodenorm,1,1,134,0,0,0,1,0
857000,1,nodenorm,1,0,228,0,0,0,1,0
859000,1,nodenorm,1,1,19,0,0,0,1,0
861000,1,nodenorm,1,1,132,0,0,0,1,0
863000,1,nodenorm,1,1,138,0,0,0,1,0
865000,1,nodenorm,1,1,25,0,0,0,1,0
867000,1,nodenorm,1,0,35,0,0,0,1,0
869000,1,nodenorm,1,0,100,0,0,0,1,0
871000,1,nodenorm,1,1,236,0,0,0,1,0
873000,1,nodenorm,1,1,33,0,0,0,1,0
875000,1,nodenorm,1,1,65,0,0,0,1,0
877000,1,nodenorm,1,0,205,0,0,0,1,0
879000,1,nodenorm,1,1,232,0,0,0,1,0
881000,1,nodenorm,1,1,3,0,0,0,1,0
883000,1,nodenorm,1,1,134,0,0,0,1,0
885000,1,nodenorm,1,1,177,0,0,0,1,0
887000,1,nodenorm,1,1,61,0,0,0,1,0
889000,1,nodenorm,1,0,58,0,0,0,1,0
891000,1,nodenorm,1,0,11,0,0,0,1,0
893000,1,nodenorm,1,0,49,0,0,0,1,0
895000,1,nodenorm,1,1,11,0,0,0,1,0
897000,1,nodenorm,1,0,128,0,0,0,1,0
899000,1,nodenorm,1,1,159,0,0,0,1,0
901000,1,nodenorm,1,1,163,0,0,0,1,0
903000,1,nodenorm,1,0,188,0,0,0,1,0
905000,1,nodenorm,1,1,8,0,0,0,1,0
907000,1,nodenorm,1,1,153,0,0,0,1,0
909000,1,nodenorm,1,0,36,0,0,0,1,0
911000,1,nodenorm,1,0,175,0,0,0,1,0
913000,1,nodenorm,1,1,51,0,0,0,1,0
915000,1,nodenorm,1,1,109,0,0,0,1,0
917000,1,nodenorm,1,0,235,0,0,0,1,0
919000,1,nodenorm,1,0,206,0,0,0,1,0
921000,1,nodenorm,1,1,67,0,0,0,1,0
923000,1,nodenorm,1,1,96,0,0,0,1,0
925000,1,nodenorm,1,1,80,0,0,0,1,0
927000,1,nodenorm,1,0,97,0,0,0,1,0
929000,1,nodenorm,1,0,229,0,0,0,1,0
931000,1,nodenorm,1,0,41,0,0,0,1,0
933000,1,nodenorm,1,1,57,0,0,0,1,0
935000,1,nodenorm,1,1,3,0,0,0,1,0
937000,1,nodenorm,1,0,206,0,0,0,1,0
939000,1,nodenorm,1,1,70,0,0,0,1,0
941000,1,nodenorm,1,0,45,0,0,0,1,0
943000,1,nodenorm,1,1,168,0,0,0,1,0
945000,1,nodenorm,1,1,145,0,0,0,1,0
947000,1,nodenorm,1,1,76,0,0,0,1,0
949000,1,nodenorm,1,1,21,0,0,0,1,0
951000,1,nodenorm,1,1,76,0,0,0,1,0
953000,1,nodenorm,1,0,30,0,0,0,1,0
955000,1,nodenorm,1,1,127,0,0,0,1,0
957000,1,nodenorm,1,1,190,0,0,0,1,0
959000,1,nodenorm,1,0,164,0,0,0,1,0
961000,1,nodenorm,1,0,193,0,0,0,1,0
963000,1,nodenorm,1,1,104,0,0,0,1,0
965000,1,nodenorm,1,0,38,0,0,0,1,0
967000,1,nodenorm,1,1,63,0,0,0,1,0
969000,1,nodenorm,1,1,64,0,0,0,1,0
971000,1,nodenorm,1,1,166,0,0,0,1,0
973000,1,nodenorm,1,1,46,0,0,0,1,0
975000,1,nodenorm,1,0,123,0,0,0,1,0
977000,1,nodenorm,1,1,135,0,0,0,1,0
979000,1,nodenorm,1,1,161,0,0,0,1,0
981000,1,nodenorm,1,0,103,0,0,0,1,0
983000,1,nodenorm,1,1,42,0,0,0,1,0
985000,1,nodenorm,1,1,110,0,0,0,1,0
987000,1,nodenorm,1,1,90,0,0,0,1,0
989000,1,nodenorm,1,0,150,0,0,0,1,0
991000,1,nodenorm,1,1,124,0,0,0,1,0
993000,1,nodenorm,1,0,18,0,0,0,1,0
995000,1,nodenorm,1,0,41,0,0,0,1,0
997000,1,nodenorm,1,1,64,0,0,0,1,0
999000,1,nodenorm,1,0,0,0,0,0,1,0
1001000,1,nodenorm,1,1,109,0,0,0,1,0
1003000,1,nodenorm,1,0,175,0,0,0,1,0
1005000,1,nodenorm,1,1,9,0,0,0,1,0
1007000,1,nodenorm,1,1,240,0,0,0,1,0
1009000,1,nodenorm,1,0,169,0,0,0,1,0
1011000,1,nodenorm,1,0,232,0,0,0,1,0
1013000,1,nodenorm,1,1,114,0,0,0,1,0
1015000,1,nodenorm,1,1,56,0,0,0,1,0
1017000,1,nodenorm,1,1,166,0,0,0,1,0
1019000,1,nodenorm,1,0,47,0,0,0,1,0
1021000,1,nodenorm,1,0,60,0,0,0,1,0
1023000,1,nodenorm,1,0,192,0,0,0,1,0
1025000,1,nodenorm,1,0,24,0,0,0,1,0
1027000,1,nodenorm,1,0,134,0,0,0,1,0
1029000,1,nodenorm,1,1,103,0,0,0,1,0
